('80a00cb9-db78-45ee-b738-45d227c22165_cologne_000005_000019', {'poly_id': 'cologne_000005_000019_22', 'color_shift': 73, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('16afcad6-27dc-477d-af40-cc406f770420_frankfurt_000001_032018', {'poly_id': 'frankfurt_000001_032018_68', 'color_shift': 63, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c04e157d-e675-49ae-8bcc-41b2abaeafa1_jena_000011_000019', {'poly_id': 'jena_000011_000019_26', 'color_shift': 133, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('153d8d08-6e18-4f9a-9a12-0395ece842a4_bremen_000137_000019', {'poly_id': 'bremen_000137_000019_37', 'color_shift': 107, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('6bee388d-3043-48da-b095-43cdb116c2bf_aachen_000050_000019', {'poly_id': 'aachen_000050_000019_59', 'color_shift': 91, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('455ceb7c-c868-4efa-8d17-e8b3d94e869c_darmstadt_000030_000019', {'poly_id': 'darmstadt_000030_000019_29', 'color_shift': 52, 'dec_lit': 42, 'inc_sat': 16, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1161d535-6094-4664-88b8-5ea17c750f43_hamburg_000000_057487', {'poly_id': 'hamburg_000000_057487_15', 'color_shift': 72, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('4932b69e-fca7-4b68-8f91-55d8a3058f3a_munster_000154_000019', {'poly_id': 'munster_000154_000019_55', 'color_shift': 53, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('4af071cc-1b71-44d9-8580-bd7864de9698_strasbourg_000001_042434', {'poly_id': 'strasbourg_000001_042434_65', 'color_shift': 107, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('192608ab-586d-4622-be61-7cb248c28112_frankfurt_000001_075296', {'poly_id': 'frankfurt_000001_075296_64', 'color_shift': 111, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('12e309a7-09aa-4f3d-a8ba-daa0c1ce6cee_bremen_000150_000019', {'poly_id': 'bremen_000150_000019_79', 'color_shift': 125, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('58450a94-0eb9-48db-9163-124806854b0d_aachen_000013_000019', {'poly_id': 'aachen_000013_000019_80', 'color_shift': 114, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('32e32c70-9ac7-40ce-b698-b5561d12af64_hamburg_000000_045908', {'poly_id': 'hamburg_000000_045908_135', 'color_shift': 83, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('6b53df6d-d22a-4eca-a647-f727949573ac_dusseldorf_000205_000019', {'poly_id': 'dusseldorf_000205_000019_47', 'color_shift': 84, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f94e206c-7c4c-4abe-a449-0753690fde04_dusseldorf_000018_000019', {'poly_id': 'dusseldorf_000018_000019_60', 'color_shift': 114, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3e5e432c-9753-4f8e-b203-a4f6347f87b9_munster_000043_000019', {'poly_id': 'munster_000043_000019_29', 'color_shift': 132, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9cf49a3f-a0b4-4b90-857c-6e421089c65d_bochum_000000_001519', {'poly_id': 'bochum_000000_001519_25', 'color_shift': 59, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a95679ae-f49f-494c-a726-d590c8f8727c_krefeld_000000_024276', {'poly_id': 'krefeld_000000_024276_28', 'color_shift': 58, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3f3a2643-48c5-4638-bedc-c68ce5c6b3e0_munster_000042_000019', {'poly_id': 'munster_000042_000019_26', 'color_shift': 100, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('11b05b75-a85e-4eaa-9f6f-6f55ba8b3dfc_strasbourg_000000_026998', {'poly_id': 'strasbourg_000000_026998_13', 'color_shift': 129, 'dec_lit': 29, 'inc_sat': 26, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b4261807-f7e9-41ee-bd92-e48f90ebd633_cologne_000095_000019', {'poly_id': 'cologne_000095_000019_80', 'color_shift': 72, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7e3faea7-d975-454e-81fa-c819d38d5126_jena_000066_000019', {'poly_id': 'jena_000066_000019_41', 'color_shift': 69, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a18ee93f-a532-4839-bb89-08f134eca5e2_cologne_000081_000019', {'poly_id': 'cologne_000081_000019_98', 'color_shift': 57, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('28d41bbb-3fb2-473f-b2e8-ffaf8394c781_tubingen_000088_000019', {'poly_id': 'tubingen_000088_000019_18', 'color_shift': 49, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3f485582-c7cc-4f47-a77d-ea370e782ba4_erfurt_000022_000019', {'poly_id': 'erfurt_000022_000019_14', 'color_shift': 51, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b34d8542-a5f0-4716-815c-cd08c56be303_ulm_000018_000019', {'poly_id': 'ulm_000018_000019_78', 'color_shift': 107, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3afa9d82-ed93-4c64-8ebb-86ff50c56b61_tubingen_000120_000019', {'poly_id': 'tubingen_000120_000019_79', 'color_shift': 89, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('6291fd99-f91d-4d00-a059-41556a622fe2_cologne_000153_000019', {'poly_id': 'cologne_000153_000019_29', 'color_shift': 105, 'dec_lit': 46, 'inc_sat': 32, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2e92baab-14e2-43ad-bfe5-1171c585c9a7_lindau_000039_000019', {'poly_id': 'lindau_000039_000019_15', 'color_shift': 63, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c908e727-7bcd-4fc1-979a-a1b6ad1af0a1_hanover_000000_043822', {'poly_id': 'hanover_000000_043822_45', 'color_shift': 73, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('8479eed5-1aeb-4b55-ba10-6848b7c88422_weimar_000037_000019', {'poly_id': 'weimar_000037_000019_30', 'color_shift': 104, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2956d9af-23c5-4334-a371-5b61b4d0d30c_hamburg_000000_077642', {'poly_id': 'hamburg_000000_077642_55', 'color_shift': 61, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('574ccd51-6470-42fc-b73f-16a149f520f9_dusseldorf_000182_000019', {'poly_id': 'dusseldorf_000182_000019_22', 'color_shift': 53, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('609ddb22-6ee9-4213-980e-1d2c25253239_munster_000016_000019', {'poly_id': 'munster_000016_000019_24', 'color_shift': 49, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0f6f3109-7c68-4e3a-be13-0e7f6fa98fb2_lindau_000015_000019', {'poly_id': 'lindau_000015_000019_29', 'color_shift': 111, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('98fd0822-692a-49ab-8ddf-89bbdc296587_strasbourg_000000_028556', {'poly_id': 'strasbourg_000000_028556_46', 'color_shift': 52, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0dbd17c0-ceb9-41ed-93d8-3c8555d0f4e8_stuttgart_000152_000019', {'poly_id': 'stuttgart_000152_000019_15', 'color_shift': 84, 'dec_lit': 21, 'inc_sat': 19, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('36be2de0-257f-46eb-b712-d508c8ecb339_hamburg_000000_083696', {'poly_id': 'hamburg_000000_083696_29', 'color_shift': 57, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('28f532a0-adb4-4fc9-985b-90e340988b86_frankfurt_000000_008451', {'poly_id': 'frankfurt_000000_008451_129', 'color_shift': 59, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('20860cd0-1424-4b78-8a34-f7afbe024b3a_tubingen_000061_000019', {'poly_id': 'tubingen_000061_000019_31', 'color_shift': 65, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('166a31a4-b1bd-48be-b6bb-cdbe46878eb5_stuttgart_000051_000019', {'poly_id': 'stuttgart_000051_000019_41', 'color_shift': 63, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('683bdcd4-3864-4d61-ad84-57e2fae9ede7_bochum_000000_037223', {'poly_id': 'bochum_000000_037223_97', 'color_shift': 91, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('919d0d8b-f26c-4885-9282-16d8ef451c3f_frankfurt_000001_049770', {'poly_id': 'frankfurt_000001_049770_54', 'color_shift': 86, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('dd9fda5d-b0dd-4de3-af00-a1a56059ab85_strasbourg_000001_011990', {'poly_id': 'strasbourg_000001_011990_65', 'color_shift': 77, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0ff93973-70e0-44d8-805c-7522ab97ec79_hamburg_000000_044251', {'poly_id': 'hamburg_000000_044251_59', 'color_shift': 110, 'dec_lit': 40, 'inc_sat': 37, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('98c8d5d0-a72e-4256-88fe-81286c645627_aachen_000049_000019', {'poly_id': 'aachen_000049_000019_58', 'color_shift': 63, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('d2512523-bacf-44a4-bfc9-917e2c17e51f_munster_000132_000019', {'poly_id': 'munster_000132_000019_57', 'color_shift': 102, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('86a718ae-937e-42ad-aecb-ab20168113a5_cologne_000022_000019', {'poly_id': 'cologne_000022_000019_32', 'color_shift': 120, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('362abb03-a5ac-4932-a1bb-85eff3af3b52_zurich_000090_000019', {'poly_id': 'zurich_000090_000019_49', 'color_shift': 103, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5a33386f-91e4-4430-b69c-364825e710ab_dusseldorf_000195_000019', {'poly_id': 'dusseldorf_000195_000019_34', 'color_shift': 57, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1d6c985e-602d-409b-96ff-8bd75592df84_monchengladbach_000000_026305', {'poly_id': 'monchengladbach_000000_026305_47', 'color_shift': 87, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('6768b743-cca1-41e4-96f2-65922079b376_tubingen_000061_000019', {'poly_id': 'tubingen_000061_000019_49', 'color_shift': 97, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0dac122d-cd72-4267-a6c3-aea126135825_darmstadt_000030_000019', {'poly_id': 'darmstadt_000030_000019_39', 'color_shift': 105, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c8f195a2-3fdf-4b2d-a14a-32dba68de06f_zurich_000025_000019', {'poly_id': 'zurich_000025_000019_78', 'color_shift': 96, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('63c60737-12a9-4f96-9a99-fc1ebe50163b_krefeld_000000_030701', {'poly_id': 'krefeld_000000_030701_86', 'color_shift': 79, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('075a2d58-f64f-49e6-aa8c-1c0a33f43353_frankfurt_000001_046504', {'poly_id': 'frankfurt_000001_046504_49', 'color_shift': 116, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('240dfd7c-2e4a-49fa-9e13-4c6f627bfa6e_aachen_000011_000019', {'poly_id': 'aachen_000011_000019_34', 'color_shift': 134, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0e6c92ed-d97d-48f0-aef7-a1cc0dafc1ff_lindau_000033_000019', {'poly_id': 'lindau_000033_000019_18', 'color_shift': 57, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0c7a8d9d-3508-43ee-bfce-18d959241aa6_lindau_000004_000019', {'poly_id': 'lindau_000004_000019_60', 'color_shift': 65, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('75d7817a-7312-47e9-881a-67d2ee65c06b_cologne_000144_000019', {'poly_id': 'cologne_000144_000019_63', 'color_shift': 89, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0d166f21-18f7-4d95-9744-5fea969032e8_aachen_000077_000019', {'poly_id': 'aachen_000077_000019_45', 'color_shift': 81, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('bcbfb806-46b5-4552-abe6-48205b6cdb9a_strasbourg_000001_023515', {'poly_id': 'strasbourg_000001_023515_127', 'color_shift': 130, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0e4c11f1-6a39-46dd-95d0-b85ca9c7c89a_hamburg_000000_044996', {'poly_id': 'hamburg_000000_044996_14', 'color_shift': 120, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a6ca64f2-476a-44f1-bfb1-4770662f2371_dusseldorf_000073_000019', {'poly_id': 'dusseldorf_000073_000019_56', 'color_shift': 86, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c13b1200-5cb2-4c6d-86db-b0f3979cca89_cologne_000109_000019', {'poly_id': 'cologne_000109_000019_51', 'color_shift': 66, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1a548344-d85c-45fc-a149-c40e17e9fec7_hamburg_000000_098862', {'poly_id': 'hamburg_000000_098862_115', 'color_shift': 108, 'dec_lit': 49, 'inc_sat': 37, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('199d526a-5dd9-4a0e-bfdc-511423bcfa0f_hamburg_000000_099902', {'poly_id': 'hamburg_000000_099902_237', 'color_shift': 133, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('611df54f-9265-47c1-957b-eec0264aca25_monchengladbach_000000_019682', {'poly_id': 'monchengladbach_000000_019682_12', 'color_shift': 132, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5d2f918b-1022-484e-9bf4-c9042cd5bf1e_stuttgart_000056_000019', {'poly_id': 'stuttgart_000056_000019_37', 'color_shift': 86, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a84f53b7-d621-451f-b0b8-6c7481613964_strasbourg_000001_014629', {'poly_id': 'strasbourg_000001_014629_53', 'color_shift': 110, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f13b829e-bd38-4f99-ac1b-56234f5cbbc3_jena_000062_000019', {'poly_id': 'jena_000062_000019_35', 'color_shift': 45, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('822c533a-9f9f-4656-bafd-3abbfee99a67_munster_000163_000019', {'poly_id': 'munster_000163_000019_52', 'color_shift': 58, 'dec_lit': 27, 'inc_sat': 23, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1431a399-5f35-400b-88ce-844f345cc2ad_monchengladbach_000000_035083', {'poly_id': 'monchengladbach_000000_035083_88', 'color_shift': 71, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5fd155bd-ee4e-4686-9380-45f1449ed71d_krefeld_000000_025812', {'poly_id': 'krefeld_000000_025812_33', 'color_shift': 66, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('65c78f1d-ce39-49be-9ae4-6c81672cecd9_frankfurt_000001_054219', {'poly_id': 'frankfurt_000001_054219_55', 'color_shift': 57, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('944c6a54-c368-4a4e-91b0-7e9020f6477b_stuttgart_000103_000019', {'poly_id': 'stuttgart_000103_000019_57', 'color_shift': 132, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('8a6f4af4-bd41-4bc6-bcc2-82662203f0da_darmstadt_000047_000019', {'poly_id': 'darmstadt_000047_000019_121', 'color_shift': 79, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b57c01fc-513c-440f-b402-1c79e358a28f_zurich_000058_000019', {'poly_id': 'zurich_000058_000019_85', 'color_shift': 60, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('cf81391f-df73-4701-a11d-380945c2a399_krefeld_000000_025434', {'poly_id': 'krefeld_000000_025434_9', 'color_shift': 88, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('eebc49f2-c351-4298-a084-2bd53c665779_hanover_000000_003411', {'poly_id': 'hanover_000000_003411_25', 'color_shift': 64, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0a97ca3f-31b7-4aa8-bbf4-6c991291a16c_hamburg_000000_077756', {'poly_id': 'hamburg_000000_077756_23', 'color_shift': 84, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('303a2633-2c7b-47e9-9a07-1cf7ff4ac8b6_munster_000166_000019', {'poly_id': 'munster_000166_000019_51', 'color_shift': 108, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('6983102d-a57c-4157-b1a1-583e4e519e25_hanover_000000_052729', {'poly_id': 'hanover_000000_052729_25', 'color_shift': 66, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('288a939a-c503-4738-857d-d1ceeaa64f60_monchengladbach_000000_022361', {'poly_id': 'monchengladbach_000000_022361_20', 'color_shift': 78, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3da46195-b35a-4ce9-9501-bb35da9d5ac8_erfurt_000049_000019', {'poly_id': 'erfurt_000049_000019_75', 'color_shift': 74, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('af598ddc-c713-44b1-b0d8-941cad733366_cologne_000126_000019', {'poly_id': 'cologne_000126_000019_48', 'color_shift': 78, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1dd335b8-3782-4f0e-8a6f-fc09f868bfff_dusseldorf_000058_000019', {'poly_id': 'dusseldorf_000058_000019_45', 'color_shift': 101, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b6d432f5-cf3e-4aec-8cb2-e6ea827bd7c6_bremen_000297_000019', {'poly_id': 'bremen_000297_000019_42', 'color_shift': 105, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('8ab7dc27-0468-4967-896f-4a1ebd162085_cologne_000073_000019', {'poly_id': 'cologne_000073_000019_57', 'color_shift': 61, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0a24a39f-f8e4-48b6-a812-c4027d525fcc_aachen_000061_000019', {'poly_id': 'aachen_000061_000019_54', 'color_shift': 113, 'dec_lit': 22, 'inc_sat': 32, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('515a813c-98ab-4fcf-b3a0-c33d83d49deb_bremen_000034_000019', {'poly_id': 'bremen_000034_000019_33', 'color_shift': 104, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0aa06590-d36e-49e3-a672-34775d67dc9d_tubingen_000040_000019', {'poly_id': 'tubingen_000040_000019_61', 'color_shift': 76, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('4b4b574b-6996-4b7e-9979-08098ddd196b_bremen_000309_000019', {'poly_id': 'bremen_000309_000019_45', 'color_shift': 76, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('661f329a-8977-441a-bd09-8dc898e76c6f_ulm_000026_000019', {'poly_id': 'ulm_000026_000019_35', 'color_shift': 58, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('da7fdb21-5ebb-49c0-95ab-8dee2a2d0412_weimar_000128_000019', {'poly_id': 'weimar_000128_000019_22', 'color_shift': 103, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('86092436-6029-462f-afa6-b09bdcaeddfe_aachen_000036_000019', {'poly_id': 'aachen_000036_000019_12', 'color_shift': 128, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c52fbf05-a416-485f-999f-1637dcb65326_cologne_000107_000019', {'poly_id': 'cologne_000107_000019_80', 'color_shift': 124, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('05238781-e6cc-4907-a10c-8a2b9151ece0_erfurt_000101_000019', {'poly_id': 'erfurt_000101_000019_15', 'color_shift': 122, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('92b17814-8c50-4597-95c8-144e1289f38c_stuttgart_000141_000019', {'poly_id': 'stuttgart_000141_000019_65', 'color_shift': 47, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('21ebcc6e-c59a-485d-8864-cc9a765d0471_hanover_000000_032351', {'poly_id': 'hanover_000000_032351_52', 'color_shift': 95, 'dec_lit': 27, 'inc_sat': 15, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5b762ae8-d639-4227-93b1-23c04c87108a_strasbourg_000001_048121', {'poly_id': 'strasbourg_000001_048121_64', 'color_shift': 61, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a28070db-72cb-490e-916b-80e772296c73_aachen_000136_000019', {'poly_id': 'aachen_000136_000019_51', 'color_shift': 81, 'dec_lit': 37, 'inc_sat': 22, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9a774560-ecfe-4b3c-813a-140e55a1f5af_munster_000142_000019', {'poly_id': 'munster_000142_000019_96', 'color_shift': 129, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('361549cc-52ff-41af-af1a-c08112f7aaa1_dusseldorf_000083_000019', {'poly_id': 'dusseldorf_000083_000019_14', 'color_shift': 85, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f55a8db5-a258-4dd4-8490-1cd229744445_munster_000058_000019', {'poly_id': 'munster_000058_000019_49', 'color_shift': 69, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2d71873a-1e50-4cd5-b7e5-6b5531bb455f_hamburg_000000_058591', {'poly_id': 'hamburg_000000_058591_141', 'color_shift': 78, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('fbaf4bda-624a-4cfc-8149-fee08ddc850e_erfurt_000063_000019', {'poly_id': 'erfurt_000063_000019_58', 'color_shift': 134, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('ab4024a3-9676-4321-b413-eaa89db4f375_strasbourg_000000_005912', {'poly_id': 'strasbourg_000000_005912_7', 'color_shift': 85, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
