('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/df5c5a56-c741-4eb2-965c-48277df6c4df_bochum_000000_003005_edit.png', array([-0.3134752, -1.3126813], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/c0175fda-8275-4670-ae83-c247cd457f2f_dusseldorf_000169_000019_edit.png', array([-0.3671248, -1.1800061], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cb225a53-d225-4676-ab67-3f77da1a3d43_krefeld_000000_021553_edit.png', array([-0.49419916, -0.9417605 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d722ad75-b91e-4902-ad15-66b733643ba2_erfurt_000062_000019_edit.png', array([-0.51141447, -0.9154083 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/73efaf52-9a9b-4f6d-971e-17445b2d3995_hanover_000000_003411_edit.png', array([-0.31843567, -1.2993311 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/af88cf4d-245e-42ef-bb8e-88dabab36dd7_tubingen_000090_000019_edit.png', array([-0.5354395, -0.8804699], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fa206dcd-c061-42b3-9d53-dfc081e13acf_dusseldorf_000091_000019_edit.png', array([-0.31326926, -1.3132412 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0770210a-babf-4559-af45-7263f3381f91_dusseldorf_000028_000019_edit.png', array([-0.4540395, -1.008016 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/dc6392ee-5245-42d5-b8af-f161643c0e5c_erfurt_000096_000019_edit.png', array([-0.31518734, -1.3080459 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d8e7c9be-7a7f-4e16-882e-5b4d107e6961_aachen_000063_000019_edit.png', array([-0.34630138, -1.2286047 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9b24c532-07bc-4a41-a79e-8590a64a28fb_strasbourg_000001_022363_edit.png', array([-0.6361813 , -0.75355554], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/97f8b774-52f5-40f2-afad-c3573a4f8bb1_darmstadt_000075_000019_edit.png', array([-0.3185202, -1.2991058], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7da17577-19c5-48fc-8cd5-43d252e34a49_weimar_000060_000019_edit.png', array([-0.6665437, -0.7204776], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/dc996c62-17b5-4052-a2d9-6873d759f4f7_strasbourg_000001_053976_edit.png', array([-0.5490205, -0.8616017], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/22bbaf13-b9b9-41b8-b8a7-b66c3d2619a7_strasbourg_000001_057129_edit.png', array([-0.34020203, -1.2434989 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/3f93fd87-7b29-4137-a5fe-732ef9e451ee_strasbourg_000000_009619_edit.png', array([-0.6132718 , -0.77996075], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/73284153-7ae7-466f-bd46-2ff661119667_bochum_000000_021606_edit.png', array([-0.33045548, -1.267965  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2dd18427-938d-4b57-a5d9-9bff9a1f8cbe_hanover_000000_056457_edit.png', array([-0.6329202 , -0.75723505], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d3f090fe-0f28-4100-b432-f74987b26aa9_monchengladbach_000000_024637_edit.png', array([-0.43959594, -1.0336584 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/3b7435b9-c3b6-4d4b-a56a-f20df78e592b_hanover_000000_042770_edit.png', array([-0.38664782, -1.1373436 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a0a3ca42-3c45-4d34-ac93-5b17c37b277f_strasbourg_000001_001449_edit.png', array([-0.37798226, -1.1559535 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/ade0f3eb-bc1c-4be2-b0df-28959411681d_ulm_000039_000019_edit.png', array([-0.51911706, -0.9039811 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7c83d2f8-fa34-4e55-93e4-386f4d4203da_jena_000058_000019_edit.png', array([-0.32950652, -1.2703923 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective_rotated/f8077f08-befc-4297-81be-44f0223cea01_hanover_000000_045188_edit.png', array([-0.33068943, -1.2673677 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1b7b1d77-5682-40fb-b026-4be6890d04d5_dusseldorf_000214_000019_edit.png', array([-0.36032456, -1.1955084 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/16fdcdaa-e869-4036-83c6-65e9571a88f9_stuttgart_000148_000019_edit.png', array([-0.5616628 , -0.84457517], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0d21f867-e55b-4adb-a8ec-02c62ca6d4fc_strasbourg_000000_009619_edit.png', array([-0.55699056, -0.85080874], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/773a5407-305c-4868-a120-f6fcbe3429b8_bochum_000000_007651_edit.png', array([-0.6351781, -0.7546845], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f72493d6-c449-48ad-9f93-4c09dd3723db_zurich_000097_000019_edit.png', array([-0.5502841 , -0.85987717], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0bf3f02f-ba0d-4e19-a79f-915a6489013e_darmstadt_000041_000019_edit.png', array([-0.35658026, -1.2041938 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/d1040a4f-a63d-4734-ad63-b20f891b1166_hanover_000000_003411_edit.png', array([-0.45336765, -1.0091861 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/17607f07-1f01-4010-852d-964f5b1f5914_bochum_000000_003005_edit.png', array([-0.31361848, -1.3122925 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/8f43535e-2f9e-4373-be7e-c8a26e859ea3_dusseldorf_000111_000019_edit.png', array([-0.4431715, -1.027214 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/40d47c1f-cd44-4a63-8090-d62a722308aa_krefeld_000000_008239_edit.png', array([-0.47208995, -0.97736174], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5e290493-5203-4a94-b9ec-7d7e086e7ea3_jena_000037_000019_edit.png', array([-0.5232938, -0.8978751], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1c1df28f-5b96-4696-9731-9784c8e6d28b_bremen_000315_000019_edit.png', array([-0.4568482, -1.0031471], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9fab0ae4-3f33-4e89-9dfd-75a9b6c6f137_strasbourg_000001_057129_edit.png', array([-0.37710947, -1.157856  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/12b3c6c8-c5ee-46ce-ac3e-9f4042241ca8_dusseldorf_000145_000019_edit.png', array([-0.31533915, -1.307636  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/e7dc2167-c123-413f-b3f2-260f28e10b9b_cologne_000058_000019_edit.png', array([-0.5006721, -0.9317172], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ad47f3f6-0dad-403e-9548-45fc2f7bfcfe_stuttgart_000191_000019_edit.png', array([-0.40487248, -1.0997984 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c73942c5-41f4-4cbf-a23c-c2b54ac52fa2_stuttgart_000156_000019_edit.png', array([-0.32387364, -1.2849717 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/870be8a6-cab9-49eb-bbb5-e294d509e4ff_bremen_000195_000019_edit.png', array([-0.31463617, -1.3095349 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fc70e142-ca94-427a-adbc-689537afe151_krefeld_000000_026919_edit.png', array([-0.4778204, -0.9679358], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/27fef2b4-dc10-457e-80cd-9495563516d9_krefeld_000000_021553_edit.png', array([-0.61208403, -0.78136575], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cb78eaeb-d249-485f-9933-34c3edcd1a85_hanover_000000_037298_edit.png', array([-0.42625242, -1.0582911 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e6a15d08-4ccb-4307-89d6-46ebb5b3722b_dusseldorf_000060_000019_edit.png', array([-0.6534923, -0.7344398], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/48314256-f074-47d5-9f2e-b2071cc218c7_tubingen_000088_000019_edit.png', array([-0.55058044, -0.85947335], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/39f2a4b0-9cf2-4ff0-8b48-8c903df81966_darmstadt_000075_000019_edit.png', array([-0.3191327, -1.2974746], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c54eae69-23e5-471b-8d7c-10c224f490ad_dusseldorf_000182_000019_edit.png', array([-0.5416596 , -0.87175226], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d4092cfb-8f3b-4588-a6bc-7c04e9d9b0ca_stuttgart_000077_000019_edit.png', array([-0.38187748, -1.1475252 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_add_car/5e3746fe-c6f8-4066-967f-95d65a451252_hanover_000000_011170_edit.png', array([-0.39709204, -1.1155715 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5aa62a19-4576-4c5f-bebb-2d1d34c984be_bochum_000000_010562_edit.png', array([-0.46182925, -0.9946035 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/0f98d8d1-c4a9-41d5-8675-74ef1066f8a7_stuttgart_000068_000019_edit.png', array([-0.35971183, -1.1969222 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1de6e84a-21ed-469d-917c-760d34b749a2_dusseldorf_000052_000019_edit.png', array([-0.47160858, -0.97815996], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e8e47e26-e046-457b-a1ba-05544780ec1e_erfurt_000041_000019_edit.png', array([-0.6926757, -0.6936189], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/ab703d66-9272-407d-b7d6-0befb9e5b4e1_stuttgart_000124_000019_edit.png', array([-0.6803175 , -0.70614374], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2e13ea65-f943-4f33-abe6-9b2ab031fd3b_strasbourg_000001_022363_edit.png', array([-0.35666966, -1.2039852 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a7298bf2-a355-4031-bc99-fd1f753ee768_aachen_000058_000019_edit.png', array([-0.4080488, -1.0934649], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2c507cf9-9c2e-4654-b87b-b4b9577f57db_jena_000011_000019_edit.png', array([-0.31746715, -1.3019185 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f9ae9a6c-a209-4c6e-83cd-52178ffdb387_bremen_000048_000019_edit.png', array([-0.6347532 , -0.75516355], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e460563f-8f56-459a-b8a4-d2146b4357d8_dusseldorf_000169_000019_edit.png', array([-0.46587306, -0.9877517 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/adddd6c6-f1c4-4929-bda5-a8bd6ebd7dd7_ulm_000086_000019_edit.png', array([-0.44539702, -1.0232356 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/d47ca965-409e-420f-b903-79078c54fdb4_strasbourg_000000_018874_edit.png', array([-0.44011402, -1.0327207 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b8d510b4-4696-4f86-bcfe-a16e2f0470c0_stuttgart_000142_000019_edit.png', array([-0.538307  , -0.87643474], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/100a7506-0b8f-4147-b716-3a18e333a9ce_stuttgart_000160_000019_edit.png', array([-0.4672473, -0.9854404], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/85cab8f4-e395-43ae-8075-64dfa22733d0_ulm_000088_000019_edit.png', array([-0.55991876, -0.84689415], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/cd78af4b-5d0f-4551-ae6e-9958428f9145_bremen_000266_000019_edit.png', array([-0.34740937, -1.2259324 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/447564e2-2999-4142-ace1-941e02c8ddab_dusseldorf_000044_000019_edit.png', array([-0.54267824, -0.8703369 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/490127f2-caaa-457b-8169-4b4d630b5ac2_aachen_000001_000019_edit.png', array([-0.3155864, -1.3069698], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/d01a4519-f495-4448-b287-d02b89b2996a_krefeld_000000_020873_edit.png', array([-0.40263242, -1.104302  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bd5077d6-0295-4e06-97ac-151056aab21a_stuttgart_000120_000019_edit.png', array([-0.3564139, -1.204582 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9e6480b4-04a4-4fc5-84de-50f8c1f8e2e0_strasbourg_000000_033062_edit.png', array([-0.3800369, -1.151495 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2205b2e7-5960-4bd9-87c8-ff5b0aa957c1_bremen_000194_000019_edit.png', array([-0.57034457, -0.8331696 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/fb5d0e1e-e8d0-4cea-8e95-db79adfd6a94_bremen_000309_000019_edit.png', array([-0.49382365, -0.94234824], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0e29d630-7262-4140-b812-756ba9a22e51_bremen_000231_000019_edit.png', array([-0.335837 , -1.2543529], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/81f1e28f-7e07-4ee7-8fb3-c2c3463928fc_ulm_000044_000019_edit.png', array([-0.34603202, -1.229256  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/05d36355-4887-4aa1-9b25-5d2a240124d3_hanover_000000_034141_edit.png', array([-0.4148482, -1.0801061], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/655881c0-2ba7-4f30-a37e-9c72cef7e71c_ulm_000025_000019_edit.png', array([-0.31742585, -1.3020291 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/dfc3f651-a657-4970-9c2e-9c26fe0a1222_aachen_000159_000019_edit.png', array([-0.32043022, -1.2940311 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/51221bd5-8731-4edc-ba44-0a9ecf141920_tubingen_000088_000019_edit.png', array([-0.52856916, -0.8902521 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fb81d3aa-bcce-44df-88ad-e4dd2250449e_erfurt_000094_000019_edit.png', array([-0.62971616, -0.76087594], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/134bf5af-e748-48e2-838e-26be950d920a_tubingen_000134_000019_edit.png', array([-0.59018886, -0.80793536], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective/4495b655-cf36-4a67-816b-70a6eb8c87c6_bochum_000000_008162_edit.png', array([-0.31588477, -1.3061659 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/35205863-b798-4650-8acb-1bb20bf479ab_hanover_000000_052512_edit.png', array([-0.5206577, -0.9017216], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/087d8feb-34dd-4f2a-92ed-6f3a46a5060c_ulm_000089_000019_edit.png', array([-0.4839329 , -0.95803636], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1d6faa39-363c-4490-b279-03187d916a04_bremen_000298_000019_edit.png', array([-0.5972604 , -0.79921305], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d3e27b99-46b2-43a0-a2a5-a0bbb2fd7e79_jena_000058_000019_edit.png', array([-0.32940406, -1.270655  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/aa22682b-225a-46e0-834a-5ad41f2a1317_erfurt_000100_000019_edit.png', array([-0.64906585, -0.7392616 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/87f34083-5605-4126-be2c-9f92f9c248fd_strasbourg_000000_000065_edit.png', array([-0.44175768, -1.0297544 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7f6e0f1b-dbe4-4f64-97d1-00b4543c8594_stuttgart_000077_000019_edit.png', array([-0.3486756, -1.2228905], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/52dd5496-7869-4211-8031-c1569d67a6de_cologne_000111_000019_edit.png', array([-0.4695183 , -0.98163867], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0de192e1-81de-4b1f-8d8b-8ab1c9740b2f_erfurt_000100_000019_edit.png', array([-0.60207635, -0.7933507 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/04f9821b-ce23-4e11-9565-b5c16b570b95_erfurt_000062_000019_edit.png', array([-0.50415164, -0.9263859 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2bc1d109-8451-45e0-8e62-f2561048a798_dusseldorf_000189_000019_edit.png', array([-0.5235267 , -0.89753664], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cca26504-5943-4a40-987a-b488a5dc8875_dusseldorf_000161_000019_edit.png', array([-0.56521004, -0.8398871 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4c046da8-acd4-4b87-86b5-35a192583d0b_krefeld_000000_025434_edit.png', array([-0.3938927, -1.1221668], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/eb1a49cd-2107-4139-aff7-fff736fd3766_dusseldorf_000182_000019_edit.png', array([-0.48573524, -0.95514774], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/cbd46a69-3778-49e5-9442-621203aa6ae9_hanover_000000_019456_edit.png', array([-0.6169518, -0.7756307], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/58d28be5-befa-4d7b-9b00-8a585d2ab61d_hanover_000000_000381_edit.png', array([-0.43594974, -1.040297  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2b330dfc-4c4b-46f7-b853-ae3f1d502e9e_ulm_000002_000019_edit.png', array([-0.540022  , -0.87403476], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/660c9255-770d-4f42-ae7e-8c6b0106a427_jena_000109_000019_edit.png', array([-0.5119198, -0.9146515], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/be7ee345-fdfa-47d3-ac03-22a0cb3b6ff9_ulm_000002_000019_edit.png', array([-0.45695025, -1.0029708 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/2b6bc582-938e-4fd4-a0e4-6e478b24d44b_stuttgart_000162_000019_edit.png', array([-0.4417382, -1.0297898], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/11c6d989-7fb5-4fc4-93c5-dd23a744abbd_strasbourg_000000_028240_edit.png', array([-0.5585321 , -0.84874475], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a4a25734-bd57-4546-8219-fb52d5262ad0_bremen_000233_000019_edit.png', array([-0.34186172, -1.2394147 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/937115c3-c841-4274-913f-07f71fcd8396_weimar_000020_000019_edit.png', array([-0.3235489, -1.2858213], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0f6d0adb-7bf9-48df-8720-ce72399806b2_erfurt_000012_000019_edit.png', array([-0.3842157, -1.1425154], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cea832d5-38a7-4282-bc3a-5ed358ed4137_stuttgart_000081_000019_edit.png', array([-0.36840755, -1.1771207 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8dda8ace-845f-471e-8445-272bcdef41bd_dusseldorf_000165_000019_edit.png', array([-0.31995064, -1.295302  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/13e505b9-322e-49c4-b80b-c2c72067a354_stuttgart_000128_000019_edit.png', array([-0.6183738 , -0.77396667], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/7d03831b-36a0-4736-8a6b-3ef5e6fb50a3_krefeld_000000_012353_edit.png', array([-0.31360072, -1.3123405 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/89c212ca-7743-43a8-ba7d-6d211ae50dbf_hanover_000000_000381_edit.png', array([-0.58444756, -0.81511974], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9f5ac117-d0d8-44c6-9be7-6038c9b64fcc_jena_000011_000019_edit.png', array([-0.37808532, -1.1557287 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7fb40b42-89f9-42c5-ab25-bfaabe9d7166_hanover_000000_024276_edit.png', array([-0.3148237, -1.3090279], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/8f76a0fd-2994-4d77-8467-de0bf6c22769_stuttgart_000142_000019_edit.png', array([-0.5275933, -0.8916549], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/60d36b68-e7cc-4e08-9448-c18b2e404e12_dusseldorf_000174_000019_edit.png', array([-0.5558469 , -0.85234547], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f6a1bfee-5547-4e46-8348-c6d7d183253e_weimar_000022_000019_edit.png', array([-0.36619014, -1.1821164 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a14aa7d1-b187-4c6e-abb4-4555aa306545_stuttgart_000053_000019_edit.png', array([-0.4562713, -1.0041441], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7832f797-679f-4d86-b8f8-a139391d85af_monchengladbach_000000_033454_edit.png', array([-0.33428508, -1.2582519 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c33692b5-c83c-4c60-b01b-0d64dc1e4d46_jena_000017_000019_edit.png', array([-0.6200867, -0.7719692], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective_rotated/17e6cb16-6a46-496c-a172-3312ccf3b743_monchengladbach_000000_020596_edit.png', array([-0.33504707, -1.2563347 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5edc148f-116e-4063-9d0c-47946bb540bf_bremen_000173_000019_edit.png', array([-0.38393915, -1.1431062 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/73df5b38-754d-4e9a-946a-853d8a434308_bochum_000000_001519_edit.png', array([-0.3438148, -1.2346388], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0757d117-f3fd-4eda-a5c7-6814a4d487af_bochum_000000_028764_edit.png', array([-0.5175387, -0.9063046], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/06d42c2d-eb9e-4a6e-beec-dd051b12a75c_bremen_000185_000019_edit.png', array([-0.6070065 , -0.78741324], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/88418089-2780-40bf-a043-fdc27448d601_erfurt_000100_000019_edit.png', array([-0.4528119, -1.0101557], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c658d774-ee06-4da6-bad1-190ea1182617_ulm_000049_000019_edit.png', array([-0.46841788, -0.9834776 ], dtype=float32))
